repo_url,code_string
https://github.com/numpy/numpy,"def linspace(start stop num"
https://github.com/numpy/numpy,"def percentile(a q axis"
https://github.com/numpy/numpy,"def corrcoef(x y rowvar"
https://github.com/numpy/numpy,"def histogram(a bins"
https://github.com/numpy/numpy,"def gradient(f *varargs"
https://github.com/numpy/numpy,"def polyfit(x y deg"
https://github.com/numpy/numpy,"def cov(m y rowvar"
https://github.com/pandas-dev/pandas,"def _cython_agg_general"
https://github.com/pandas-dev/pandas,"def merge(left right how"
https://github.com/pandas-dev/pandas,"def read_csv(filepath_or_buffer"
https://github.com/pandas-dev/pandas,"def pivot_table(data values"
https://github.com/scikit-learn/scikit-learn,"def fit_transform(self X"
https://github.com/scikit-learn/scikit-learn,"def cross_val_score(estimator X"
https://github.com/scikit-learn/scikit-learn,"def train_test_split(*arrays"
https://github.com/scipy/scipy,"def minimize(fun x0"
